PaymentID,CustomerID,PaymentDate,AmountPaid
PAY000001,C022,10-02-2023,9300
PAY000002,C012,15-02-2023,4500
PAY000003,C012,18-02-2023,1100
PAY000004,C022,18-02-2023,4700
PAY000005,C012,19-02-2023,1300
PAY000006,C012,22-02-2023,1600
PAY000007,C012,25-02-2023,2000
PAY000008,C012,26-02-2023,5400
PAY000009,C022,26-02-2023,7800
PAY000010,C012,02-03-2023,11300
PAY000011,C012,05-03-2023,13400
PAY000012,C035,05-03-2023,4900
PAY000013,C012,07-03-2023,8300
PAY000014,C012,10-03-2023,1000
PAY000015,C022,10-03-2023,7900
PAY000016,C012,11-03-2023,5800
PAY000017,C035,14-03-2023,2300
PAY000018,C011,17-03-2023,6800
PAY000019,C012,18-03-2023,2700
PAY000020,C022,18-03-2023,4500
PAY000021,C010,19-03-2023,3800
PAY000022,C015,19-03-2023,3800
PAY000023,C012,20-03-2023,9100
PAY000024,C022,21-03-2023,6100
PAY000025,C005,23-03-2023,12500
PAY000026,C011,23-03-2023,7000
PAY000027,C035,23-03-2023,2700
PAY000028,C015,24-03-2023,10700
PAY000029,C008,25-03-2023,7900
PAY000030,C012,26-03-2023,1000
PAY000031,C010,27-03-2023,7600
PAY000032,C007,29-03-2023,9600
PAY000033,C005,30-03-2023,11500
PAY000034,C008,30-03-2023,12500
PAY000035,C015,30-03-2023,10200
PAY000036,C022,30-03-2023,6000
PAY000037,C011,31-03-2023,6000
PAY000038,C012,31-03-2023,6800
PAY000039,C035,31-03-2023,7600
PAY000040,C007,01-04-2023,10300
PAY000041,C009,02-04-2023,2900
PAY000042,C012,02-04-2023,4900
PAY000043,C010,03-04-2023,9400
PAY000044,C011,03-04-2023,6400
PAY000045,C010,05-04-2023,1200
PAY000046,C005,06-04-2023,4300
PAY000047,C007,06-04-2023,10100
PAY000048,C012,06-04-2023,1900
PAY000049,C015,06-04-2023,900
PAY000050,C007,07-04-2023,4500
PAY000051,C008,07-04-2023,6400
PAY000052,C011,07-04-2023,1000
PAY000053,C015,07-04-2023,8300
PAY000054,C011,08-04-2023,9200
PAY000055,C035,08-04-2023,9000
PAY000056,C022,09-04-2023,600
PAY000057,C009,10-04-2023,1000
PAY000058,C010,10-04-2023,2800
PAY000059,C022,10-04-2023,8300
PAY000060,C010,11-04-2023,1900
PAY000061,C011,11-04-2023,1200
PAY000062,C001,12-04-2023,3400
PAY000063,C001,13-04-2023,8400
PAY000064,C005,13-04-2023,7000
PAY000065,C007,13-04-2023,7500
PAY000066,C012,13-04-2023,10000
PAY000067,C015,14-04-2023,5200
PAY000068,C008,15-04-2023,7300
PAY000069,C009,15-04-2023,4700
PAY000070,C011,15-04-2023,9300
PAY000071,C010,16-04-2023,13700
PAY000072,C011,16-04-2023,5000
PAY000073,C012,16-04-2023,11600
PAY000074,C015,16-04-2023,13700
PAY000075,C035,16-04-2023,13100
PAY000076,C001,17-04-2023,9200
PAY000077,C011,18-04-2023,10400
PAY000078,C012,18-04-2023,6100
PAY000079,C022,18-04-2023,6700
PAY000080,C010,19-04-2023,10900
PAY000081,C001,20-04-2023,9500
PAY000082,C005,20-04-2023,1000
PAY000083,C015,20-04-2023,6800
PAY000084,C001,21-04-2023,5400
PAY000085,C007,21-04-2023,7900
PAY000086,C008,21-04-2023,13200
PAY000087,C012,21-04-2023,7600
PAY000088,C033,21-04-2023,1600
PAY000089,C005,22-04-2023,800
PAY000090,C010,22-04-2023,2400
PAY000091,C002,23-04-2023,13100
PAY000092,C009,23-04-2023,7400
PAY000093,C010,23-04-2023,1700
PAY000094,C011,23-04-2023,700
PAY000095,C015,23-04-2023,8400
PAY000096,C001,24-04-2023,11300
PAY000097,C007,24-04-2023,12800
PAY000098,C002,25-04-2023,5900
PAY000099,C011,25-04-2023,3700
PAY000100,C015,25-04-2023,9100
PAY000101,C015,25-04-2023,8700
PAY000102,C035,25-04-2023,400
